,__v,_id,activityHotness,coin,createdAt,favoriteCount,hashtags,hotness,id,isRetweeted,language,links,mentions,publishedAt,retweetCount,symbols,text,twitteratiScore,updatedAt,url,username
0,0,5fb2ac5f0c8909001790c789,8.060855752934316,59cb59e81c073f09e76f614b,2020-11-16T16:44:16.069Z,0,['Bitcoin'],74334.84719834552,1328378065924198400,True,en,[],['tyler'],2020-11-16T16:43:05.000Z,704,[],RT @tyler: CitiBank report predicts #Bitcoin price of 318K by December 2021. Buckle up!,0,2020-11-16T16:44:16.069Z,https://cryptocontrol.io/r/api/tweet/5fb2ac5f0c8909001790c789?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
1,0,5fb2ac5f0c8909001790c787,3.8649313978942956,59cb59e81c073f09e76f614b,2020-11-16T16:44:16.069Z,28,[],74330.64919065716,1328377874773016576,False,und,['https://twitter.com/_ConnerBrown_/status/1328372323230081026'],[],2020-11-16T16:42:20.000Z,5,[],🐂 https://t.co/lyDNslcwYp https://t.co/9Pc0It19rb,0,2020-11-16T16:44:16.069Z,https://cryptocontrol.io/r/api/tweet/5fb2ac5f0c8909001790c787?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
2,0,5fb2ac5f0c8909001790c788,3.3603753871419,59cb59e81c073f09e76f614b,2020-11-16T16:44:16.069Z,22,[],74330.13819946122,1328377292922339336,False,en,['https://twitter.com/i/web/status/1328377292922339336'],"['business', 'Barclays']",2020-11-16T16:40:01.000Z,2,[],'The value of the Global Negative-Yielding Debt Index from @business and @Barclays is now at a record level of $17.… https://t.co/AlBLFvujV8,0,2020-11-16T16:44:16.069Z,https://cryptocontrol.io/r/api/tweet/5fb2ac5f0c8909001790c788?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
3,0,5fadfb5b951b86001b3062a3,8.272570608424903,59cb59e81c073f09e76f614b,2020-11-13T03:19:55.984Z,0,[],74320.81377431213,1327087500754518016,True,en,[],"['CoinDesk', 'PayPal']",2020-11-13T03:14:50.000Z,870,[],"RT @CoinDesk: JUST IN: All eligible @PayPal accountholders in the U.S. can now buy, hold and sell cryptocurrency, the company announced Thu…",0,2020-11-13T03:19:55.984Z,https://cryptocontrol.io/r/api/tweet/5fadfb5b951b86001b3062a3?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
4,0,5fadfb5b951b86001b3062a4,5.455321115357702,59cb59e81c073f09e76f614b,2020-11-13T03:19:55.984Z,0,[],74317.99513593016,1327087373197348864,True,en,[],['real_vijay'],2020-11-13T03:14:20.000Z,52,[],RT @real_vijay: Family offices (the investment teams for ultra high net worth individuals) are going to find it very difficult to source #B…,0,2020-11-13T03:19:55.984Z,https://cryptocontrol.io/r/api/tweet/5fadfb5b951b86001b3062a4?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
5,0,5fadfb5b951b86001b3062a2,4.762173934797756,59cb59e81c073f09e76f614b,2020-11-13T03:19:55.984Z,0,[],74317.3121276385,1327088291007479810,True,en,[],"['adam3us', 'WhalePanda', 'hodlhodl']",2020-11-13T03:17:59.000Z,26,[],RT @adam3us: A few days ago I borrowed $20k L-USDt from @WhalePanda using @hodlhodl lending with 60 LTV at 1% for 3mo (4.06% APR). See vide…,0,2020-11-13T03:19:55.984Z,https://cryptocontrol.io/r/api/tweet/5fadfb5b951b86001b3062a2?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
6,0,5fa42d2cbac1d00019c11d82,5.794536837924666,59cb59e81c073f09e76f614b,2020-11-05T16:49:48.660Z,0,['Bitcoin'],74288.56212943052,1324390098515881984,True,en,[],['cryptowat_ch'],2020-11-05T16:36:20.000Z,73,[],RT @cryptowat_ch: #Bitcoin rises to a 1000 day high 🚀 https://t.co/vCvWEnvehP,0,2020-11-05T16:49:48.660Z,https://cryptocontrol.io/r/api/tweet/5fa42d2cbac1d00019c11d82?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
7,0,5f9c0781c2328100174a0c32,7.517792552819076,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.066Z,0,['Bitcoin'],74236.16857958987,1319487280579440640,True,en,[],['cryptowat_ch'],2020-10-23T03:54:17.000Z,409,[],"RT @cryptowat_ch: Year-to-date asset performance:
+ 80%  :    #Bitcoin
+ 29%. :     Gold
+ 28%. :     Nasdaq
+ 15%   :     US 10-year Treas…",0,2020-10-30T12:30:58.066Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0c32?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
8,0,5f9c0781c2328100174a0c86,10.252699719093494,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.067Z,0,['Cryptocurrency'],74233.21445897834,1318971872986288129,True,en,[],['PayPal'],2020-10-21T17:46:14.000Z,6302,[],"RT @PayPal: Today, we are announcing the launch of a new service that will enable customers to buy, hold and sell #Cryptocurrency directly…",0,2020-10-30T12:30:58.067Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0c86?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
9,0,5f9c0781c2328100174a0c5c,6.983882639369688,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.066Z,364,[],74210.37142893566,1317198510152773632,False,en,['https://twitter.com/i/web/status/1317198510152773632'],[],2020-10-16T20:19:31.000Z,167,[],During fiscal year 2020 the US budget deficit more than tripled from $984B in 2019 to a record $3.1T. Net interest… https://t.co/Jy1chmOIl1,0,2020-10-30T12:30:58.066Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0c5c?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
10,0,5f9c0781c2328100174a0c33,7.286054719017532,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.066Z,652,[],74205.88489731161,1316764666312318976,False,und,[],[],2020-10-15T15:35:35.000Z,194,[],↗️ https://t.co/bEoDP46KVg,0,2020-10-30T12:30:58.066Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0c33?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
11,0,5f9c0781c2328100174a0cda,6.7770769553400205,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.069Z,0,[],74205.37962325165,1316765003664433152,True,en,[],['pwuille'],2020-10-15T15:36:55.000Z,195,[],"RT @pwuille: Bitcoin Core v0.21 will support Tor V3 addresses, and BIP155 (which supports gossiping them over the network).

Tor V2 address…",0,2020-10-30T12:30:58.069Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0cda?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
12,0,5f9c0781c2328100174a0cb0,5.922918004572872,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.068Z,0,['Bitcoin'],74204.5301402268,1316765424063660037,True,en,[],['BitcoinMagazine'],2020-10-15T15:38:36.000Z,83,[],"RT @BitcoinMagazine: Taproot has merged into #Bitcoin Core! 🔥

Taproot, a BTC protocol upgrade for flexibility and transaction privacy, has…",0,2020-10-30T12:30:58.068Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0cb0?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
13,0,5f9c0781c2328100174a0c5d,8.763193524873374,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.066Z,0,[],74200.209304636,1316116649683021824,True,en,[],['ForbesCrypto'],2020-10-13T20:40:36.000Z,1421,[],RT @ForbesCrypto: EXCLUSIVE $10 billion asset manager Stone Ridge reveals $115 million bitcoin position as part of a larger plan: https://t…,0,2020-10-30T12:30:58.066Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0c5d?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
14,0,5f9c0781c2328100174a0c87,7.874320786729915,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.067Z,1261,['Bitcoin'],74178.50297819413,1314230653567688704,False,en,['https://twitter.com/i/web/status/1314230653567688704'],[],2020-10-08T15:46:19.000Z,332,[],"Square Puts 1% of Total Assets in #Bitcoin in Surprise $50M Investment. They purchased 4,709 BTC at an average pric… https://t.co/JpG3uZszQM",0,2020-10-30T12:30:58.067Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0c87?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
15,0,5f9c0781c2328100174a0cdb,6.218998446723485,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.069Z,158,[],74177.23274844672,1314265540186185728,False,en,['https://twitter.com/i/web/status/1314265540186185728'],['TheJusticeDept'],2020-10-08T18:04:57.000Z,80,[],Today the @TheJusticeDept released an 83 page “Cryptocurrency: An Enforcement Framework” outlining the response &amp; s… https://t.co/xuNabkvmaI,0,2020-10-30T12:30:58.069Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0cdb?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
16,0,5f9c0781c2328100174a0cb1,6.53712628570943,59cb59e81c073f09e76f614b,2020-10-30T12:30:58.068Z,247,[],74173.10272813756,1313862551046742016,False,und,[],[],2020-10-07T15:23:37.000Z,104,[],https://t.co/jhj6IKCFae,0,2020-10-30T12:30:58.068Z,https://cryptocontrol.io/r/api/tweet/5f9c0781c2328100174a0cb1?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
17,0,5f761b9c2f9b6d0017f2c0a4,3.3603753871419,59cb59e81c073f09e76f614b,2020-10-01T18:10:37.201Z,12,[],74146.38708835011,1311729998785519616,False,en,['https://twitter.com/i/web/status/1311729998785519616'],"['CFTC', 'BitMEX', 'TheJusticeDept']",2020-10-01T18:09:37.000Z,4,[],The @CFTC has filed a civil enforcement action against @BitMEX. @TheJusticeDept has unsealed criminal indictments o… https://t.co/wBdf6nTPQ5,0,2020-10-01T18:10:37.201Z,https://cryptocontrol.io/r/api/tweet/5f761b9c2f9b6d0017f2c0a4?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
18,0,5f6658a4575bf2001a1799c8,4.3134800921387715,59cb59e81c073f09e76f614b,2020-09-19T19:14:44.584Z,53,[],74099.50875786992,1307396615359967232,False,en,[],[],2020-09-19T19:10:18.000Z,6,[],2020 is a year for the record books. https://t.co/aOxyuE2hpa,0,2020-09-19T19:14:44.584Z,https://cryptocontrol.io/r/api/tweet/5f6658a4575bf2001a1799c8?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
